I,Q,U,V,P,ch5,pk1,pk2,pk3,pk4,fwhm1,fwhm2,fwhm3,fwhm4,proms1,proms2,proms3,proms4,d1,d2,d3,d4,st1,st2,st3,st4,rm1,rm2,rm3,rm4,ku1,ku2,ku3,ku4,sk1,sk2,sk3,sk4,s1,s2,s3,s4,ma1,ma2,ma3,ma4
124.9766,0.2165,-0.4073,-0.2718,0.5354,191.7500,104.0000,123.0000,100.0000,113.0000,3.0000,6.5000,11.0000,4.0000,1.0000,8.0000,8.0000,2.0000,12.5870,0.0497,0.0971,0.2346,3.8762,0.0138,0.0277,0.0770,125.0337,0.2170,0.4085,0.2836,1.9776,2.1816,3.9908,1.8229,-0.3706,-0.1832,-1.4670,-0.3634,1.0005,1.0019,1.0022,1.0369,0.1007,0.2298,0.2384,0.8740
155.1370,-0.1545,-0.2183,-0.3297,0.4245,192.0455,200.0000,121.0000,166.0000,146.0000,23.2679,25.0000,26.6000,16.0000,67.0000,40.0000,57.0000,12.0000,63.9905,0.0498,0.2516,0.7816,20.7036,0.0150,0.0727,0.2131,156.4813,0.1560,0.2371,0.4031,1.7902,1.8803,3.5480,2.7683,-0.3709,0.2906,-1.2983,-0.7797,1.0087,1.0045,1.0493,1.1730,0.4143,0.3217,1.1385,2.5050
138.2398,-0.1924,-0.1603,-0.2312,0.3409,222.2647,156.0000,95.0000,144.0000,122.0000,12.0000,15.5000,21.4000,15.2500,12.0000,9.0000,36.0000,24.0000,30.3218,0.1651,0.1511,0.2540,10.2154,0.0466,0.0554,0.0623,138.6056,0.1969,0.1662,0.2419,1.8531,2.8102,1.5217,2.6577,-0.5442,0.8430,-0.3340,0.0645,1.0026,1.0284,1.0588,1.0338,0.2196,0.8770,0.9919,1.1056
124.6419,0.3258,-0.3578,-0.1718,0.5135,221.7895,114.0000,135.0000,96.0000,108.0000,4.8333,14.5000,18.5000,5.0000,10.0000,13.0000,18.0000,3.0000,13.0144,0.0663,0.1132,0.3478,3.5935,0.0215,0.0322,0.1271,124.6924,0.3261,0.3585,0.2146,1.9241,1.7450,2.1578,1.6479,0.1035,-0.4854,-0.0080,-0.5885,1.0004,1.0021,1.0039,1.2322,0.1044,0.2040,0.3175,2.2859
143.9756,0.0739,-0.4362,-0.6636,0.7976,245.1373,177.0000,145.0000,125.0000,200.0000,17.1667,23.7000,17.4167,20.4857,50.0000,42.0000,29.0000,59.0000,53.5764,0.2663,0.2328,1.0665,16.9746,0.0801,0.0803,0.3641,144.9533,0.1077,0.4368,0.7334,1.6733,2.1027,1.6109,2.0282,0.2133,-0.4871,0.2259,0.7705,1.0068,1.1354,1.0170,1.1365,0.3734,3.0881,0.5469,1.8923
152.4775,-0.0497,-0.3910,-0.2514,0.4675,238.1408,180.0000,120.0000,215.0000,196.0000,21.9667,40.0000,21.8611,21.0000,80.0000,15.0000,110.0000,90.0000,84.1907,0.4017,0.1235,0.3225,27.4705,0.1349,0.0318,0.0971,154.8980,0.1366,0.3893,0.2624,1.9456,1.7958,2.2008,1.6522,0.6655,-0.5191,-0.0866,-0.1638,1.0159,1.2092,1.0033,1.0752,0.5564,4.1035,0.3187,1.3775
126.6531,0.0777,-0.4317,-0.3449,0.5580,215.0294,106.0000,111.0000,123.0000,128.0000,18.0000,6.0000,13.5000,6.0000,3.0000,4.0000,27.0000,6.0000,15.7918,0.1609,0.1567,0.2881,4.9174,0.0493,0.0560,0.1083,126.7458,0.0928,0.4356,0.3636,1.7262,1.9855,1.4710,1.5795,0.0190,0.1862,0.0277,-0.5158,1.0007,1.1733,1.0081,1.0460,0.1247,2.3161,0.3642,0.8478
136.4199,0.1765,-0.4773,-0.4009,0.6478,225.5098,118.0000,149.0000,125.0000,162.0000,35.4167,20.6250,19.9167,16.5417,29.0000,43.0000,31.0000,27.0000,38.9364,0.1311,0.3880,0.7890,13.6516,0.0387,0.1238,0.1765,137.0880,0.1785,0.4855,0.4307,1.4809,2.0423,1.6142,4.6274,0.2476,0.1230,0.4110,1.4978,1.0049,1.0239,1.0335,1.0670,0.2861,0.7617,0.8415,2.0745
126.8845,-0.1912,-0.5230,-0.5449,0.7792,234.0000,123.0000,77.0000,143.0000,152.0000,12.0833,5.2500,19.8333,7.5000,21.0000,3.0000,26.0000,6.0000,13.3932,0.4216,0.2826,0.5778,4.1444,0.1169,0.1054,0.1718,126.9503,0.2213,0.5339,0.5717,2.0009,4.1492,1.2804,1.8903,-0.4561,1.5140,-0.0386,-0.1626,1.0005,1.0682,1.0195,1.0471,0.1056,2.1540,0.5452,1.0852
128.3911,0.1338,-0.2860,-0.1973,0.3723,209.3030,125.0000,125.0000,111.0000,104.0000,15.4167,1.0000,18.5000,1.0000,21.0000,1.0000,20.0000,1.0000,15.9076,0.3138,0.2188,0.4264,5.4410,0.1002,0.0549,0.1259,128.5028,0.1683,0.2920,0.2343,1.6855,2.6003,3.4195,2.3985,-0.4367,0.9883,-1.0477,-0.7115,1.0009,1.2346,1.0176,1.1786,0.1240,2.6023,0.7690,2.3697
137.9877,-0.0481,-0.5542,-0.1979,0.5905,206.8387,89.0000,119.0000,163.0000,146.0000,7.5000,14.6000,16.0000,5.0000,2.0000,32.0000,44.0000,6.0000,36.3423,0.1626,0.1641,0.7778,12.4863,0.0442,0.0559,0.2518,138.5333,0.0673,0.5598,0.3283,1.5907,2.5852,1.7154,2.3320,-0.1340,-0.4323,-0.4884,-0.7559,1.0040,1.2253,1.0049,1.3820,0.2639,3.3901,0.2952,4.2265
193.5394,-0.0469,-0.2590,-0.4085,0.4860,248.7761,347.0000,197.0000,264.0000,250.0000,24.3571,25.0000,23.9214,26.5536,239.0000,93.0000,163.0000,129.0000,180.7433,0.3098,0.2959,0.6327,61.3872,0.1098,0.0861,0.1587,202.9030,0.1099,0.2947,0.4368,1.7283,1.5024,2.1127,2.8506,0.4230,-0.0245,-0.2629,0.6771,1.0484,1.1101,1.0449,1.0721,0.9570,3.3880,1.0744,1.6455
142.7041,0.0168,-0.2652,-0.0971,0.2829,247.3667,157.0000,122.0000,160.0000,139.0000,22.3750,27.9167,28.0000,14.7500,53.0000,19.0000,62.0000,19.0000,50.3393,0.3482,0.3912,0.7464,15.7834,0.0863,0.1113,0.2372,143.5598,0.0890,0.2840,0.2510,1.5705,2.7641,2.2049,1.5025,0.0405,0.5135,-0.0026,0.0210,1.0060,1.2341,1.0853,1.1054,0.3538,5.5227,1.5749,3.5229
125.8967,-0.0918,-0.4081,-0.5998,0.7313,226.4643,132.0000,92.0000,121.0000,141.0000,4.0000,13.0000,11.5833,15.0000,7.0000,5.0000,17.0000,20.0000,14.7696,0.1229,0.1331,0.2952,4.3274,0.0339,0.0341,0.0998,125.9684,0.0968,0.4086,0.6070,1.9084,2.0443,3.5912,1.9336,-0.0479,-0.0233,1.0673,0.6403,1.0006,1.0650,1.0034,1.0133,0.1173,1.4055,0.3275,0.4963
128.4030,0.1396,-0.3851,-0.2888,0.5012,207.4444,112.0000,120.0000,117.0000,118.0000,1.7500,13.7500,11.9167,13.0000,1.0000,13.0000,27.0000,4.0000,19.6456,0.0659,0.1315,0.2464,6.1072,0.0158,0.0394,0.0679,128.5428,0.1409,0.3863,0.2993,1.8101,3.3954,2.2518,2.2483,-0.0300,-0.9198,0.5554,-0.2945,1.0011,1.0061,1.0050,1.0257,0.1531,0.4724,0.3430,0.8556
150.3277,-0.1171,-0.4607,-0.4691,0.6678,223.1875,164.0000,128.0000,176.0000,177.0000,10.0000,27.0000,29.5000,35.3333,50.0000,40.0000,60.0000,54.0000,65.9286,0.2401,0.2519,0.3961,23.3283,0.0724,0.0770,0.1211,152.0991,0.1353,0.4727,0.4933,1.3567,2.2269,1.8388,1.7956,0.1203,-0.6615,-0.3955,-0.4004,1.0118,1.1803,1.0133,1.0310,0.4412,2.3177,0.5436,0.8408
126.3948,0.0294,-0.2615,-0.2732,0.3793,234.3500,130.0000,105.0000,112.0000,107.0000,9.1250,9.5000,9.0000,4.0000,11.0000,8.0000,14.0000,1.0000,15.1163,0.0452,0.1509,0.1960,5.1332,0.0143,0.0468,0.0602,126.4938,0.0330,0.2667,0.2816,1.6499,2.2903,2.6039,1.6733,-0.1841,0.8618,-0.8867,0.0329,1.0008,1.1033,1.0150,1.0225,0.1196,1.5913,0.5784,0.7201
129.9817,0.2314,-0.4238,-0.2626,0.5497,186.2571,107.0000,129.0000,104.0000,124.0000,5.0000,23.0000,7.0000,8.0000,4.0000,9.0000,12.0000,6.0000,15.7229,0.1522,0.2029,0.2813,5.0027,0.0347,0.0643,0.0739,130.0752,0.2339,0.4287,0.2739,2.6294,3.1752,1.6110,2.2012,-1.0177,-0.2555,0.3043,-0.3338,1.0007,1.0109,1.0111,1.0374,0.1210,0.6614,0.4813,1.0857
